Vendor identifier,Country,Name,Address,ZIP/postcode,City,Email,Bank country,Currency,VAT Code,Bank Name,IBAN,Payment terms,BIC,Bank Account Number,Norwegian Bankgiro Number,Bank Code,Company entities,Vendor Group
409182736,Norway,Orlantex Ltd,Strandgata 22,152,Sandefjord,,Norway,NOK,951638027,Guardian Credit Union,NO1849263053749,Within 7 Days,DNBOTXLD,16062380172,23694817,,NO,Suppliers
953274610,Norway,Tivonex Global,Torggata 29,183,Oslo,,Norway,NOK,NO582749305,Alliance National Bank,,Within 14 Days,,,47382901,,NO,Suppliers
268435109,Norway,XylarisTech AS,Olaf Schous vei 4,572,Billingstad,,Norway,NOK,613 957 028,Victory Bank Corporation,NO4975037168720,Within 30 Days,DABTFO23,5327039517,62940385,,NO,Suppliers
417928536,Norway,Zypraxen Ltd,v/Morten Fastvold 2,565,Oslo,,Norway,NOK,NO247396185,Grand Savings Bank,,Within 60 Days,DABTPO21,16067345201,19374826,,NO,Suppliers
620349871,Norway,Kelvotex AS,Kokstadflaten 25,5257,Svelvik,,Norway,,NO 128374509,Equity Trust Bank,NO3051769485287,Within 7 Days,DABTFO34,1607.92.78101,50293817,,NO,Suppliers
793405182,Norway,Woxteris Enterprises,6. etasje,7031,Oslo,,Norway,NOK,NO 763204850,Prosperity Financial Bank,,Within 14 Days,DNBCPPTXX,16038829416,84170623,,NO,Suppliers
258471396,Norway,Ivytronix Inc,Hovinveien 50,576,Fyllingsdalen,,Norway,NOK,259834171,Inland Empire Bank,NO9278361094215,Within 30 Days,NDEENQG,61350238790,71938405,,NO,Suppliers
864910723,Norway,Lunexor Solutions,Tykkemyr 2,1597,Oslo,,Norway,NOK,495731628,Noble Reserve Bank,,Within 60 Days,DABHIF99,,38291746,,NO,Suppliers
394782615,Norway,Verilora Networks,Kongens gate 8,153,Oslo,,Norway,NOK,NO370812649,Horizon Mutual Bank,NO7586420391943,Within 7 Days,,81117264059,60518392,,NO,Suppliers
751938402,Norway,Wenatoris Ltd,Fridtjof Nansens plass 6,160,Halden,,Norway,,NO618932750,Legacy National Bank,,Within 14 Days,DNBAKNN,16034893071,47201853,,NO,Suppliers
260948731,Norway,Yalonix Inc,Øvre gate 9,551,Oslo,,Norway,NOK,NO174506829,Pathway Savings Bank,NO8520736142671,Within 30 Days,,16037846250,51623847,,NO,Suppliers
498273615,Norway,Opteronix Solutions,Kalnesveien 8,1712,Oslo,,Norway,NOK,904721563,Progressive Trust Bank,,Within 60 Days,SPQHNO21,,91840573,,NO,Suppliers
623491807,Norway,Zyphorix AS,Kongens gate 9,,Oslo,,Norway,NOK,NO153826417,Harmony Financial Group,NO6728391850243,Within 7 Days,SHDSNKL23,16034052712,36217408,,NO,Suppliers
817306492,Norway,Qaltronix Ltd,Københavngata 5,153,Stjørdal,,Norway,NOK,NO920573628,Apex Community Bank,,Within 14 Days,,,20398457,,NO,Suppliers
529104837,Norway,Inixentra Group,Henrik Ibsens gate 95,553,Oslo,,Norway,NOK,SE184395620,Southern Trust Bank,NO1038592406715,Within 30 Days,DABHEP34,60960208379,57248109,,NO,Suppliers
387264915,Norway,Pelvexis Solutions,Bygg C,255,Oslo,,Norway,NOK,NO631084792,Evergreen Federal Bank,,Within 60 Days,,21345828,38592716,,NO,Suppliers
105928743,Norway,Drilonex Ltd,Stortorvet 15,473,Oslo,,Norway,NOK,NO274659831,Atlas Credit Union,NO5027183968504,Within 7 Days,DNBCXOPXX,,10482736,,NO,Suppliers
609472815,Norway,Tivorix Global,Langes gate 6,155,Ålesund,,Norway,NOK,NO154928305,Blue Ridge Bank,,Within 14 Days,NDEKKNR,16073194255,79612054,,NO,Suppliers
826374105,Norway,Evorianis AS,Vestre Rosten 110,5007,Oslo,,Norway,NOK,NO726493501,Unity Bank Group,NO4175061927308,Within 30 Days,NDEKQKL,65603527981,36201784,,NO,Suppliers
318294756,Norway,Zantrolix Ltd,Kobbervikdalen 120,7075,Oslo,,Norway,NOK,NO853712460,Prime Federal Bank,,Within 60 Days,,25360381628,27150368,,NO,Suppliers
964203518,Norway,Galtronix AS,Tungavegen 41,3036,Oslo,,Norway,NOK,NO730268592,Highland Savings Bank,NO2096845273816,Within 7 Days,DABKNOD,42201687535,92847510,,NO,Suppliers
729384610,Norway,Kyronix Global,Karenslyst Alle 11 B,7047,Kokstad,,Norway,NOK,NO290384167,Central Alliance Bank,,Within 14 Days,NDEEKLS,71324586141,45182379,,NO,Suppliers
415736920,Norway,Halnixor Solutions,Toftes gate 8,278,Oslo,,Norway,NOK,NO492158703,First Guardian Bank,NO3528194756037,Within 30 Days,,18804327314,60394812,,NO,Suppliers
273846159,Norway,Xentrovia Labs,Storgata 6,556,Oslo,,Norway,NOK,NO367285091,Midwest Reserve Bank,,Within 60 Days,,,83947162,,NO,Suppliers
610293847,Norway,Virenixteq AS,Postboks 750 Sentrum,155,Lier,,Norway,NOK,NO923576108,Eastern Community Bank,NO7582639105482,Within 7 Days,DNBANOKK,16041078692,51873240,,NO,Suppliers
859104723,Norway,Nexdrion Group,Henrik Ibsens gate 30,106,Oslo,,Norway,NOK,NO638029147,Prestige National Bank,,Within 7 Days,,,27583149,,NO,Suppliers
472681305,Norway,Kyluson Ltd,Hausmanns gate 25,255,Oslo,,Norway,NOK,NO739561208,Pioneer Federal Bank,NO4720831615724,Within 14 Days,HANDNOKKXXX,60942710433,49028375,,NO,Suppliers
291847365,Norway,Fytrovius AS,Biskop Gunnerus' gate 16A,182,Oslo,,Norway,NOK,NO823485900,Home Savings Bank,,Within 30 Days,SPRONO22,86107460975,61523978,,NO,Suppliers
630482719,Norway,Dranexis Ventures,Billingstadsletta 15,185,Trondheim,,Norway,NOK,SE912738445,True North Bank,NO5186749201853,Within 60 Days,,,48201793,,NO,Suppliers
815947263,Norway,Alyst,"Hollyhill Industrial Estate, Hollyhill 2",1396,Oslo,,Norway,NOK,NO183527846,Pinnacle Trust Bank,,Within 7 Days,,7059 14 03199,73482016,,NO,Suppliers
376204891,Ireland,APPLE DISTRIBUTION INTERNATIONAL LIMITED,Gladengveien 4,,Oslo,,Ireland,NOK,NO730595901,Broadway Bank Group,NO2097364536780,Within 14 Days,ESSENOKX,,10938274,,NO,Suppliers
493618205,Norway,REITAN CONVENIENCE NORWAY AS,Prinsessetunet 6,661,Oslo,,Norway,NOK,984316577,Interstate Savings Bank,,Within 30 Days,DNBANOKK,8111 61 83244,83610542,,NO,Suppliers
682719305,Norway,AD SALES AS,Frognerveien 12,2016,Eidsvågneset,,Norway,NOK,NO 852 674 387,Colonial Reserve Bank,NO6825407193728,Within 60 Days,DNBANOKKXXX,,24917638,,NO,Suppliers
305182647,Norway,ADVOKATENE LÅNG ANS,Thereses gate 50,257,Skjetten,,Norway,NOK,NO789421476,Epic Financial Group,,Within 7 Days,,81116183244,50192836,,NO,Suppliers
948276153,Norway,GRÜNERLØKKA FLYTTEBYRÅ AS,Karenslyst allé 60,168,Oslo,,Norway,NOK,458623017,Founders Community Bank,NO8592637401572,Within 14 Days,DABANO22,50206637771,38547019,,NO,Suppliers
527384910,Norway,TRIPLETEX AS,Myrvangvegen 18,277,Oslo,,Norway,NOK,NO934512837,Pioneer Trust Bank,,Within 30 Days,DABANO22,65124936422,72930165,,NO,Suppliers
804192736,Norway,AJ PRODUKTER AS,Sørengkaia 165,2040,Oslo,,Norway,NOK,102 389 174 MVA,Fortress Credit Union,NO1948573206095,Within 60 Days,DABANO22,60960179051,64713028,,NO,Suppliers
365928410,Norway,CJA AS,Karenslyst allé 60,194,Ålesund,,Norway,NOK,652418729,Lakeside National Bank,,Within 7 Days,DNBANOKKXXX,60970367125,51843926,,NO,Suppliers
972461305,Norway,VISMA AMILI AS,Karenslyst allé 60,277,Nøtterø,,Norway,NOK,NO812634905,Mariner Financial,NO7635218475102,Within 14 Days,NDEANOKK,,32019487,,NO,Suppliers
618495073,Norway,VISMA MAMUT AS,Drammensveien 150B,277,Oslo,,Norway,NOK,NO781622645,Anchor Trust Bank,,Within 30 Days,DABANO22,60942754830,41793582,,NO,Suppliers
740193682,Norway,COPYCAT AS,Folke Bernadottes vei 52,277,Frogner,,Norway,NOK,NO 612 746 251,Independence Bank Group,NO2356784102934,Within 60 Days,,32117849263,85912047,,NO,Suppliers
295381476,Norway,TRYG FORSIKRING,Gunnestaveien 6C,5147,Oslo,,Norway,NOK,NO102384756,Titan Community Bank,,Within 7 Days,,,36281905,,NO,Suppliers
839271405,Norway,PLANT2PLAST,Narviga 10,3140,Oslo,,Norway,NOK,NO682734019,Paramount Reserve Bank,NO9215836074608,Within 14 Days,,62536104827,52048376,,NO,Suppliers
517934628,Norway,MFO MARKEDSFØRINGSFORENINGEN,Peter Møllers vei 7A,4633,Oslo,,Norway,,834827159,Genesis National Bank,,Within 30 Days,,98136722594,47190325,,NO,Suppliers
264873510,Norway,LILLE PERSILLE AS,Drammensveien 270,585,Oslo,,Germay,NOK,NO 389728054,Skyline Trust Bank,NO4928501625374,Within 60 Days,DNBANOKK,51142783914,69810534,,NO,Suppliers
693847205,Norway,IF SKADEFORSIKRING NORSK AVDELING AV UTENLANDSK FORETAK,Hagegata 3B,283,Oslo,,Norway,NOK,NO108374919,Centennial Financial,,Within 7 Days,,50920817586,20318457,,NO,Suppliers
210495738,Norway,SULTEN AS,Danvikgata 42,577,Oslo,,Norway,NOK,546829302,Heritage Federal Bank,NO7325894160287,Within 14 Days,,,71902836,,NO,Suppliers
840163927,Norway,DRAMMENSBADET KF,Skippergata 36,3045,Oslo,,Norway,NOK,689492107,Bayside Credit Union,,Within 30 Days,SPRONO22,16034487022,43619582,,NO,Suppliers
576193204,Norway,RADIO METRO AS,Grubbegata 20,154,Oslo,,Norway,NOK,731058249,Sterling Bank Group,NO8437526904821,Within 60 Days,SHEDNO22,,58027391,,NO,Suppliers
419283605,Norway,MEDIER OG LEDELSE AS,Furulien 22,179,Oslo,,Norway,,NO 625 983 745,People's Savings Bank,,Within 7 Days,,92418166092,69341025,,NO,Suppliers
287563091,Norway,HAVRE GRØNNE VERDIER,Støperiveien 30,5101,Haarby,,Norway,NOK,874642031,Sierra Mutual Bank,NO9286345216079,Within 14 Days,,52203498755,21847395,,NO,Suppliers
965041238,Norway,MYRDAHL OG SVEEN AS,Hvamsvingen 10,182,Oslo,,Norway,NOK,762948503,Tradition National Bank,,Within 30 Days,,,54801726,,NO,Suppliers
103794628,Norway,ECIT VIKEN AS,Nedre gate 10C,2013,Oslo,,Norway,NOK,NO837598120,Freedom Trust Bank,NO5017289456803,Within 60 Days,,60481729341,31028475,,NO,Suppliers
587491206,Norway,GABRIELLA MIKIEWICZ,Tordenskiolds gate 5,551,Oslo,,Norway,NOK,381 628 210,Pathfinder Financial,,Within 7 Days,,,72945103,,NO,Suppliers
329748150,Norway,Mesh Community AS,Tjuvholmen allé 3,160,Oslo,,Norway,NOK,NO291653748,Vanguard Bank & Trust,NO3460295183726,Within 14 Days,,16033528762,84019265,,NO,Suppliers
764018235,Norway,ADVOKATFIRMAET SELMER AS,Nøsterudveien 58,252,Frogner,,Norway,NOK,NO 573604926,Alliance Federal Bank,,Within 30 Days,DABANO22,16034052761,27384109,,NO,Suppliers
495370261,Norway,MEJC SALES AS,Solheimsgaten 9C,3060,Oslo,,Norway,NOK,NO 982 721 019,Peak Community Bank,NO5829341076281,Within 60 Days,,97702531584,49036128,,NO,Suppliers
840192736,Norway,DNB LIVSFORSIKRING AS,"Postboks 5300, Majorstuen",5058,Oslo,,Norway,NOK,905738149,Sunset Reserve Bank,,Within 7 Days,DNBANOKKXXX,46261358899,53198247,,NO,Suppliers
251749306,Norway,Dr.Dropin BHT AS,Waldemar Thranes gate 102,303,Oslo,,Norway,NOK,541083627,Midland Savings Bank,NO7315928460930,Within 14 Days,NDEANOKK,81120183721,60741938,,NO,Suppliers
703628491,Norway,FOODORA NORWAY AS,Isebakkeveien 80,175,Frogner,,Norway,NOK,NO721384019,Crest Financial Group,,Within 30 Days,NDEANOKK,16047893201,21578403,,NO,Suppliers
614038275,Norway,JETCARRIER SOLUTIONS AS,Lysaker Torg 36,1788,Oslo,,Norway,NOK,NO614923580,Frontier National Bank,NO4652783591102,Within 60 Days,,46309218865,49021857,,NO,Suppliers
498275106,Norway,AS3 Norge AS,"Lysaker Torg 35 - 6. etg, 1366 Lysaker",1366,Oslo,,Norway,,NO722134790,Meridian Trust Bank,,Within 7 Days,DABANO22,81230472951,87320154,,NO,Suppliers
935041762,Norway,TELIA NORGE AS,Lørenfaret 1A,585,Oslo,,Norway,NOK,943285602,Liberty State Bank,NO3945602819207,Within 14 Days,NDEANOKK,81121266783,59471036,,NO,Suppliers
126384705,Sweden,MyNewsdesk AB,ROSENLUNDSGATAN 40,118 53,Oslo,,Sweden,,NO152739648,Summit Financial Trust,,Within 30 Days,,32204352901,62340158,,NO,Suppliers
874195036,Norway,ODA NORWAY AS,Nydalsveien 28,484,Frogner,,Norway,NOK,NO309587461,Unity National Bank,NO6087314520589,Within 60 Days,,70590827465,19027483,,NO,Suppliers
320461598,Norway,RETRIEVER NORGE AS,Langkaia 1,150,Oslo,,Norway,NOK,SE865702982,Patriot Credit Union,,Within 7 Days,,61018473952,83704192,,NO,Suppliers
785239104,Norway,Ekte kommunikasjon AS,c/o Erlend Skaug Ingebrigtsen Mogata,464,Oslo,,Norway,NOK,NO561039284,Reliance Trust Bank,NO9517362840250,Within 14 Days,,16039284623,65238417,,NO,Suppliers
604817523,Norway,KOMPLETT SERVICES AS,Østre Kullerød 4,3241,Oslo,,Norway,NOK,NO372580693,Phoenix Bank Group,,Within 30 Days,,16037715285,71082943,,NO,Suppliers
